prv_id,prv_link,flow,outlet_pressure
Lodge Causeway PRV,link_2820,0,17.82544314147325
Lodge Causeway PRV,link_2820,0,17.593488269723167
Lodge Causeway PRV,link_2820,1,17.597654566450444
Lodge Causeway PRV,link_2820,2,17.603434771947637
Lodge Causeway PRV,link_2820,3,17.61082888621474
Lodge Causeway PRV,link_2820,4,17.61983690925176
Lodge Causeway PRV,link_2820,5,17.63045884105869
Lodge Causeway PRV,link_2820,6,17.642694681635536
Lodge Causeway PRV,link_2820,7,17.656544430982294
Lodge Causeway PRV,link_2820,8,17.672008089098966
Lodge Causeway PRV,link_2820,9,17.68908565598555
Lodge Causeway PRV,link_2820,10,17.70777713164205
Lodge Causeway PRV,link_2820,11,17.728082516068465
Lodge Causeway PRV,link_2820,12,17.75000180926479
Lodge Causeway PRV,link_2820,13,17.77353501123103
Lodge Causeway PRV,link_2820,14,17.798682121967182
Lodge Causeway PRV,link_2820,15,17.82544314147325
Stoke Lane PRV,link_2835,0,31.84489203066008
Stoke Lane PRV,link_2835,0,6.850824825558695
Stoke Lane PRV,link_2835,1,7.183222694535448
Stoke Lane PRV,link_2835,2,7.553439600469775
Stoke Lane PRV,link_2835,3,7.961475543361678
Stoke Lane PRV,link_2835,4,8.407330523211156
Stoke Lane PRV,link_2835,5,8.89100454001821
Stoke Lane PRV,link_2835,6,9.412497593782838
Stoke Lane PRV,link_2835,7,9.971809684505043
Stoke Lane PRV,link_2835,8,10.568940812184822
Stoke Lane PRV,link_2835,9,11.203890976822176
Stoke Lane PRV,link_2835,10,11.876660178417108
Stoke Lane PRV,link_2835,11,12.587248416969611
Stoke Lane PRV,link_2835,12,13.335655692479694
Stoke Lane PRV,link_2835,13,14.121882004947349
Stoke Lane PRV,link_2835,14,14.945927354372579
Stoke Lane PRV,link_2835,15,15.807791740755388
Stoke Lane PRV,link_2835,16,16.70747516409577
Stoke Lane PRV,link_2835,17,17.644977624393725
Stoke Lane PRV,link_2835,18,18.620299121649257
Stoke Lane PRV,link_2835,19,19.633439655862365
Stoke Lane PRV,link_2835,20,20.684399227033047
Stoke Lane PRV,link_2835,21,21.773177835161306
Stoke Lane PRV,link_2835,22,22.89977548024714
Stoke Lane PRV,link_2835,23,24.06419216229055
Stoke Lane PRV,link_2835,24,25.26642788129153
Stoke Lane PRV,link_2835,25,26.50648263725009
Stoke Lane PRV,link_2835,26,27.784356430166227
Stoke Lane PRV,link_2835,27,29.100049260039935
Stoke Lane PRV,link_2835,28,30.453561126871225
Stoke Lane PRV,link_2835,29,31.84489203066008
Woodland Way PRV,link_2848,0,16.674577620297214
Woodland Way PRV,link_2848,0,16.133946918881687
Woodland Way PRV,link_2848,1,16.135961124959547
Woodland Way PRV,link_2848,2,16.13853392646695
Woodland Way PRV,link_2848,3,16.141665323403892
Woodland Way PRV,link_2848,4,16.145355315770374
Woodland Way PRV,link_2848,5,16.149603903566394
Woodland Way PRV,link_2848,6,16.154411086791956
Woodland Way PRV,link_2848,7,16.15977686544706
Woodland Way PRV,link_2848,8,16.165701239531707
Woodland Way PRV,link_2848,9,16.17218420904589
Woodland Way PRV,link_2848,10,16.179225773989618
Woodland Way PRV,link_2848,11,16.186825934362883
Woodland Way PRV,link_2848,12,16.19498469016569
Woodland Way PRV,link_2848,13,16.203702041398035
Woodland Way PRV,link_2848,14,16.212977988059922
Woodland Way PRV,link_2848,15,16.22281253015135
Woodland Way PRV,link_2848,16,16.23320566767232
Woodland Way PRV,link_2848,17,16.24415740062283
Woodland Way PRV,link_2848,18,16.25566772900288
Woodland Way PRV,link_2848,19,16.26773665281247
Woodland Way PRV,link_2848,20,16.280364172051602
Woodland Way PRV,link_2848,21,16.293550286720272
Woodland Way PRV,link_2848,22,16.307294996818484
Woodland Way PRV,link_2848,23,16.321598302346235
Woodland Way PRV,link_2848,24,16.336460203303528
Woodland Way PRV,link_2848,25,16.351880699690362
Woodland Way PRV,link_2848,26,16.36785979150674
Woodland Way PRV,link_2848,27,16.38439747875265
Woodland Way PRV,link_2848,28,16.401493761428107
Woodland Way PRV,link_2848,29,16.419148639533102
Woodland Way PRV,link_2848,30,16.43736211306764
Woodland Way PRV,link_2848,31,16.456134182031715
Woodland Way PRV,link_2848,32,16.475464846425332
Woodland Way PRV,link_2848,33,16.49535410624849
Woodland Way PRV,link_2848,34,16.51580196150119
Woodland Way PRV,link_2848,35,16.53680841218343
Woodland Way PRV,link_2848,36,16.558373458295208
Woodland Way PRV,link_2848,37,16.580497099836528
Woodland Way PRV,link_2848,38,16.60317933680739
Woodland Way PRV,link_2848,39,16.62642016920779
Woodland Way PRV,link_2848,40,16.650219597037733
Woodland Way PRV,link_2848,41,16.674577620297214
Cold Harbour Lane PRV,link_2912,0,35.55462834139928
Cold Harbour Lane PRV,link_2912,0,35.2149812998262
Cold Harbour Lane PRV,link_2912,1,35.21076262987349
Cold Harbour Lane PRV,link_2912,2,35.208998941035844
Cold Harbour Lane PRV,link_2912,3,35.209690233313246
Cold Harbour Lane PRV,link_2912,4,35.212836506705706
Cold Harbour Lane PRV,link_2912,5,35.218437761213224
Cold Harbour Lane PRV,link_2912,6,35.2264939968358
Cold Harbour Lane PRV,link_2912,7,35.237005213573426
Cold Harbour Lane PRV,link_2912,8,35.24997141142611
Cold Harbour Lane PRV,link_2912,9,35.265392590393844
Cold Harbour Lane PRV,link_2912,10,35.28326875047664
Cold Harbour Lane PRV,link_2912,11,35.30359989167449
Cold Harbour Lane PRV,link_2912,12,35.32638601398739
Cold Harbour Lane PRV,link_2912,13,35.351627117415354
Cold Harbour Lane PRV,link_2912,14,35.37932320195837
Cold Harbour Lane PRV,link_2912,15,35.40947426761644
Cold Harbour Lane PRV,link_2912,16,35.442080314389564
Cold Harbour Lane PRV,link_2912,17,35.47714134227775
Cold Harbour Lane PRV,link_2912,18,35.51465735128099
Cold Harbour Lane PRV,link_2912,19,35.55462834139928
