prv_id,prv_link,flow,outlet_pressure
Lodge Causeway PRV,link_2820,0,18.309190726078697
Lodge Causeway PRV,link_2820,0,17.610754245926874
Lodge Causeway PRV,link_2820,2,17.610754245926874
Lodge Causeway PRV,link_2820,3,17.63215727894532
Lodge Causeway PRV,link_2820,4,17.658947453642128
Lodge Causeway PRV,link_2820,5,17.69112477001729
Lodge Causeway PRV,link_2820,6,17.728689228070813
Lodge Causeway PRV,link_2820,7,17.7716408278027
Lodge Causeway PRV,link_2820,8,17.81997956921294
Lodge Causeway PRV,link_2820,9,17.873705452301543
Lodge Causeway PRV,link_2820,10,17.932818477068505
Lodge Causeway PRV,link_2820,11,17.997318643513825
Lodge Causeway PRV,link_2820,12,18.067205951637504
Lodge Causeway PRV,link_2820,13,18.142480401439542
Lodge Causeway PRV,link_2820,14,18.223141992919942
Lodge Causeway PRV,link_2820,15,18.309190726078697
Stoke Lane PRV,link_2835,0,22.949668358621953
Stoke Lane PRV,link_2835,0,7.959421442825999
Stoke Lane PRV,link_2835,3,7.959421442825999
Stoke Lane PRV,link_2835,4,8.247597451905849
Stoke Lane PRV,link_2835,5,8.558843216923297
Stoke Lane PRV,link_2835,6,8.893158737878347
Stoke Lane PRV,link_2835,7,9.250544014770995
Stoke Lane PRV,link_2835,8,9.630999047601243
Stoke Lane PRV,link_2835,9,10.03452383636909
Stoke Lane PRV,link_2835,10,10.461118381074536
Stoke Lane PRV,link_2835,11,10.910782681717583
Stoke Lane PRV,link_2835,12,11.38351673829823
Stoke Lane PRV,link_2835,13,11.879320550816477
Stoke Lane PRV,link_2835,14,12.398194119272322
Stoke Lane PRV,link_2835,15,12.940137443665765
Stoke Lane PRV,link_2835,16,13.50515052399681
Stoke Lane PRV,link_2835,17,14.093233360265454
Stoke Lane PRV,link_2835,18,14.7043859524717
Stoke Lane PRV,link_2835,19,15.338608300615544
Stoke Lane PRV,link_2835,20,15.995900404696986
Stoke Lane PRV,link_2835,21,16.676262264716026
Stoke Lane PRV,link_2835,22,17.379693880672672
Stoke Lane PRV,link_2835,23,18.106195252566913
Stoke Lane PRV,link_2835,24,18.855766380398755
Stoke Lane PRV,link_2835,25,19.628407264168196
Stoke Lane PRV,link_2835,26,20.424117903875235
Stoke Lane PRV,link_2835,27,21.242898299519872
Stoke Lane PRV,link_2835,28,22.084748451102115
Stoke Lane PRV,link_2835,29,22.949668358621953
Woodland Way PRV,link_2848,0,19.062970427440863
Woodland Way PRV,link_2848,0,18.651504988133304
Woodland Way PRV,link_2848,6,18.651504988133304
Woodland Way PRV,link_2848,7,18.65574838929554
Woodland Way PRV,link_2848,8,18.660433717178158
Woodland Way PRV,link_2848,9,18.66556097178116
Woodland Way PRV,link_2848,10,18.671130153104553
Woodland Way PRV,link_2848,11,18.67714126114833
Woodland Way PRV,link_2848,12,18.68359429591249
Woodland Way PRV,link_2848,13,18.690489257397036
Woodland Way PRV,link_2848,14,18.69782614560197
Woodland Way PRV,link_2848,15,18.70560496052729
Woodland Way PRV,link_2848,16,18.71382570217299
Woodland Way PRV,link_2848,17,18.72248837053908
Woodland Way PRV,link_2848,18,18.731592965625556
Woodland Way PRV,link_2848,19,18.741139487432413
Woodland Way PRV,link_2848,20,18.75112793595966
Woodland Way PRV,link_2848,21,18.761558311207292
Woodland Way PRV,link_2848,22,18.772430613175306
Woodland Way PRV,link_2848,23,18.783744841863708
Woodland Way PRV,link_2848,24,18.795500997272498
Woodland Way PRV,link_2848,25,18.80769907940167
Woodland Way PRV,link_2848,26,18.820339088251227
Woodland Way PRV,link_2848,27,18.833421023821174
Woodland Way PRV,link_2848,28,18.8469448861115
Woodland Way PRV,link_2848,29,18.860910675122216
Woodland Way PRV,link_2848,30,18.875318390853316
Woodland Way PRV,link_2848,31,18.890168033304803
Woodland Way PRV,link_2848,32,18.905459602476675
Woodland Way PRV,link_2848,33,18.92119309836893
Woodland Way PRV,link_2848,34,18.937368520981572
Woodland Way PRV,link_2848,35,18.9539858703146
Woodland Way PRV,link_2848,36,18.971045146368017
Woodland Way PRV,link_2848,37,18.988546349141814
Woodland Way PRV,link_2848,38,19.006489478636
Woodland Way PRV,link_2848,39,19.024874534850568
Woodland Way PRV,link_2848,40,19.043701517785525
Woodland Way PRV,link_2848,41,19.062970427440863
Cold Harbour Lane PRV,link_2912,0,35.81092149555361
Cold Harbour Lane PRV,link_2912,0,35.247347864166024
Cold Harbour Lane PRV,link_2912,3,35.247347864166024
Cold Harbour Lane PRV,link_2912,4,35.25180045471071
Cold Harbour Lane PRV,link_2912,5,35.26035581344433
Cold Harbour Lane PRV,link_2912,6,35.27301394036689
Cold Harbour Lane PRV,link_2912,7,35.28977483547839
Cold Harbour Lane PRV,link_2912,8,35.31063849877883
Cold Harbour Lane PRV,link_2912,9,35.335604930268204
Cold Harbour Lane PRV,link_2912,10,35.364674129946515
Cold Harbour Lane PRV,link_2912,11,35.39784609781377
Cold Harbour Lane PRV,link_2912,12,35.435120833869966
Cold Harbour Lane PRV,link_2912,13,35.4764983381151
Cold Harbour Lane PRV,link_2912,14,35.52197861054917
Cold Harbour Lane PRV,link_2912,15,35.571561651172175
Cold Harbour Lane PRV,link_2912,16,35.625247459984124
Cold Harbour Lane PRV,link_2912,17,35.683036036985015
Cold Harbour Lane PRV,link_2912,18,35.744927382174836
Cold Harbour Lane PRV,link_2912,19,35.81092149555361
