model_id,link_type,material,material-age,material-age-velocity
link_0001,pipe,G1,G1,G1
link_0002,pipe,G1,G1,G1
link_0003,pipe,G1,G1,G2
link_0004,pipe,G2,G3,G5
link_0005,pipe,G2,G3,G5
link_0006,pipe,G2,G3,G5
link_0007,pipe,G2,G3,G5
link_0008,pipe,G2,G3,G5
link_0009,pipe,G2,G3,G5
link_0010,pipe,G1,G1,G2
link_0011,pipe,G1,G1,G2
link_0012,pipe,G1,G1,G2
link_0013,pipe,G1,G1,G2
link_0014,pipe,G2,G3,G5
link_0015,pipe,G1,G1,G2
link_0016,pipe,G1,G1,G2
link_0017,pipe,G1,G1,G1
link_0018,pipe,G1,G1,G1
link_0019,pipe,G1,G1,G2
link_0020,pipe,G1,G1,G1
link_0021,pipe,G1,G1,G2
link_0022,pipe,G1,G1,G2
link_0023,pipe,G1,G1,G1
link_0024,pipe,G1,G1,G2
link_0025,pipe,G1,G1,G1
link_0026,pipe,G1,G1,G1
link_0027,pipe,G1,G1,G2
link_0028,pipe,G1,G1,G1
link_0029,pipe,G1,G1,G1
link_0030,pipe,G1,G2,G4
link_0031,pipe,G1,G1,G2
link_0032,pipe,G1,G1,G2
link_0033,pipe,G1,G1,G2
link_0034,pipe,G1,G1,G1
link_0035,pipe,G2,G3,G5
link_0036,pipe,G1,G1,G1
link_0037,pipe,G1,G1,G2
link_0038,pipe,G1,G1,G1
link_0039,pipe,G1,G1,G1
link_0040,pipe,G2,G3,G5
link_0041,pipe,G2,G3,G5
link_0042,pipe,G2,G3,G5
link_0043,pipe,G1,G1,G2
link_0044,pipe,G2,G3,G5
link_0045,pipe,G1,G1,G1
link_0046,pipe,G1,G1,G1
link_0047,pipe,G1,G1,G1
link_0048,pipe,G1,G1,G2
link_0049,pipe,G1,G1,G2
link_0050,pipe,G1,G1,G1
link_0051,pipe,G1,G1,G1
link_0052,pipe,G1,G1,G1
link_0053,pipe,G2,G3,G5
link_0054,pipe,G1,G1,G2
link_0055,pipe,G1,G1,G1
link_0056,pipe,G1,G1,G1
link_0057,pipe,G1,G1,G2
link_0058,pipe,G1,G1,G2
link_0059,pipe,G2,G3,G5
link_0060,pipe,G1,G1,G2
link_0061,pipe,G1,G1,G1
link_0062,pipe,G1,G1,G1
link_0063,pipe,G1,G1,G2
link_0064,pipe,G1,G1,G1
link_0065,pipe,G1,G1,G1
link_0066,pipe,G1,G1,G2
link_0067,pipe,G1,G1,G2
link_0068,pipe,G1,G1,G1
link_0069,pipe,G1,G1,G2
link_0070,pipe,G1,G1,G2
link_0071,pipe,G1,G2,G3
link_0072,pipe,G1,G1,G1
